code, town,Denominazione,index,lat,lon
1,Cagliari,Mattei (ang. via Campania),271,39.23385, 9.11191
2,Cagliari,Sassari (parcheggio stazione),401,39.21503, 9.10862
3,Cagliari,Merello (ang. via Oslavia),276,39.22348, 9.10868
4,Cagliari,Diaz (ang. via Ancona),152,39.20674, 9.12575
5,Cagliari,Diaz (Hotel Mediterraneo),159,39.20783, 9.12411
6,Cagliari,Sini (ang. via Gherardo delle Notti),416,39.25338, 9.09473
8,Cagliari,Borgo Sant’Elia (ang. via Callas),44,39.19517, 9.14212
9,Cagliari,Buoncammino (Anfiteatro Romano),51,39.22544, 9.11410
10,Cagliari,Trento (uffici regionali),439,39.22513, 9.10277
11,Cagliari,Trieste (ang. via S. Paolo),441,39.22547, 9.10083
12,Cagliari,Trieste (fronte Assessorato RAS),444,39.21953, 9.10481
13,Cagliari,Via Castelli fronte civico n. 11,453,39.23277, 9.10658
14,Cagliari,Campania (ang. via Capitanata),69,39.23241, 9.11369
15,Cagliari,Campania (ang. via Mattei),70,39.23335, 9.11324
16,Cagliari,Poetto (ang. via Grecale),328,39.19987, 9.14538
17,Cagliari,Carlo Felice (Rinascente),78,39.21520, 9.11126
18,Cagliari,Is Maglias (dip Ing. Elettronica),215,39.23000, 9.10801
19,Cagliari,Is Maglias (fronte Azuni),216,39.23158, 9.10461
20,Cagliari,Poetto (Ospedale Marino),343,39.21374, 9.17421
21,Cagliari,Is Maglias (nuovi edifici),219,39.23082, 9.10585
22,Cagliari,Regina Margherita (ex Manifatt. Tabacchi),356,39.21358, 9.11617
23,Cagliari,Cocco Ortu (ang. via Foscolo),102,39.22263, 9.12149
24,Cagliari,La Plaia (fronte parcheggio),238,39.21519, 9.10430
25,Cagliari,Corso Vittorio Emanuele II (altezza civico n.439),111,39.21953, 9.10949
26,Cagliari,Roma (fronte Stazione FS),369,39.21655, 9.10849
27,Cagliari,S. Avendrace (ang. via Flumendosa),372,39.23010, 9.09898
28,Cagliari,S. Michele (altezza civico n. 60),376,39.23620, 9.09839
29,Cagliari,S. Paolo (fronte case FS),378,39.21745, 9.09954
30,Cagliari,Dante (ang. via Todde),126,39.22567, 9.12544
